iter	Logloss
0	0.6026507019
1	0.5305865756
2	0.4813365474
3	0.4468566006
4	0.4166577367
5	0.3957931406
6	0.3840179345
7	0.373162309
8	0.3638863193
9	0.3572952054
10	0.3504120795
11	0.3460574675
12	0.3415675713
13	0.3371202229
14	0.334605472
15	0.3314763942
16	0.3292564231
17	0.3266047511
18	0.3246702946
19	0.3226889669
20	0.3211346352
21	0.3192920797
22	0.3180075706
23	0.3171029751
24	0.3156275559
25	0.3144255678
26	0.3132290054
27	0.3122432624
28	0.3114882099
29	0.3102380481
30	0.3095471726
31	0.3089609043
32	0.3081780658
33	0.30751097
34	0.3070426087
35	0.306534364
36	0.3042152784
37	0.30371069
38	0.3029079392
39	0.3019339626
40	0.3014652064
41	0.3010579973
42	0.3006616118
43	0.2999779073
44	0.2994135341
45	0.2985009347
46	0.2979638981
47	0.2974678401
48	0.2971006402
49	0.2965745438
50	0.2960077529
51	0.2955216234
52	0.2952151234
53	0.2948421003
54	0.2945205868
55	0.2942839861
56	0.2938853852
57	0.2934298411
58	0.2932430379
59	0.2929441793
60	0.292633797
61	0.2924310267
62	0.2919721365
63	0.2913710213
64	0.2911228201
65	0.2906679933
66	0.2899583943
67	0.2895516792
68	0.2892483258
69	0.2890280394
70	0.2884800478
71	0.2881608085
72	0.2878231754
73	0.2875673141
74	0.2873804908
75	0.2869733284
76	0.2867522251
77	0.2864180139
78	0.2862281176
79	0.2859788889
80	0.2857386143
81	0.2855466945
82	0.2852389659
83	0.2850142151
84	0.2848376104
85	0.2846040733
86	0.2843748257
87	0.2840772235
88	0.2838666697
89	0.2834298612
90	0.2831295394
91	0.282972378
92	0.282879315
93	0.2826819599
94	0.2824077138
95	0.2822821507
96	0.2820197949
97	0.2813162069
98	0.2810318181
99	0.2806120512
100	0.2803286564
101	0.2797829322
102	0.279241005
103	0.2789170293
104	0.2787702353
105	0.278341832
106	0.2781494075
107	0.2778034992
108	0.2775303335
109	0.2772833909
110	0.2770146244
111	0.2767511832
112	0.2761034685
113	0.2759573749
114	0.2753935098
115	0.2746570939
116	0.2744967031
117	0.2742705566
118	0.2740789151
119	0.2735264914
120	0.2733010433
121	0.2731120153
122	0.272927587
123	0.2726013567
124	0.2721499858
125	0.2719757462
126	0.2718031265
127	0.2714709402
128	0.2713090633
129	0.2710261821
130	0.2706424147
131	0.2703839753
132	0.2701841743
133	0.2700196702
134	0.2697885871
135	0.2695506061
136	0.2693761666
137	0.2692214966
138	0.2689655828
139	0.2687765166
140	0.2686045466
141	0.268410279
142	0.2682827015
143	0.2681461109
144	0.2679995754
145	0.2677726715
146	0.2675721708
147	0.2673951409
148	0.2672122243
149	0.2669548285
150	0.2667833436
151	0.2665445811
152	0.2664080768
153	0.2662780405
154	0.2660903077
155	0.2659186075
156	0.2656600484
157	0.2654572206
158	0.2653649674
159	0.2652853941
160	0.2651188448
161	0.2649265617
162	0.2648080234
163	0.2646743974
164	0.264576849
165	0.2644778259
166	0.2642157976
167	0.2637970157
168	0.2636633976
169	0.2635437643
170	0.2633797236
171	0.2632523878
172	0.2630959883
173	0.2629077668
174	0.2628384718
175	0.2626149533
176	0.262453934
177	0.2623143954
178	0.2621191921
179	0.2619976023
180	0.2618923679
181	0.2617745709
182	0.2615306424
183	0.2614231472
184	0.2613227757
185	0.2612384453
186	0.2611128204
187	0.2609227198
188	0.2608432369
189	0.2604035976
190	0.2602892323
191	0.2602370664
192	0.2601352825
193	0.2600374314
194	0.2598888471
195	0.2597430078
196	0.2596922855
197	0.2595394173
198	0.2592746988
199	0.2590950129
