iter	Passed	Remaining
0	50	10093
1	53	5338
2	56	3734
3	59	2939
4	63	2462
5	66	2162
6	69	1928
7	73	1765
8	76	1633
9	80	1522
10	83	1431
11	86	1356
12	90	1305
13	94	1256
14	97	1204
15	100	1159
16	103	1118
17	107	1084
18	111	1062
19	114	1034
20	118	1006
21	121	981
22	124	960
23	129	947
24	132	927
25	135	910
26	139	893
27	142	875
28	146	861
29	150	852
30	154	844
31	158	832
32	161	819
33	165	808
34	169	799
35	173	788
36	176	778
37	179	767
38	184	762
39	188	753
40	191	743
41	194	733
42	200	732
43	204	723
44	208	716
45	213	714
46	216	705
47	219	695
48	222	686
49	227	682
50	230	673
51	233	664
52	236	655
53	239	647
54	242	639
55	246	634
56	250	627
57	254	621
58	258	618
59	262	612
60	266	606
61	269	600
62	274	596
63	278	591
64	282	586
65	286	581
66	290	575
67	293	569
68	296	562
69	300	557
70	304	553
71	307	547
72	310	541
73	315	536
74	319	532
75	328	536
76	332	531
77	335	525
78	338	519
79	342	513
80	347	510
81	351	505
82	355	501
83	359	497
84	363	491
85	366	485
86	370	481
87	374	476
88	377	471
89	381	465
90	385	461
91	389	456
92	392	451
93	396	446
94	399	441
95	405	438
96	408	434
97	411	428
98	415	423
99	418	418
100	422	413
101	425	408
102	429	404
103	434	401
104	437	396
105	440	390
106	443	385
107	447	381
108	451	377
109	455	372
110	458	367
111	462	363
112	465	358
113	468	353
114	471	348
115	476	344
116	479	340
117	483	335
118	486	331
119	490	327
120	494	322
121	497	318
122	501	313
123	506	310
124	509	305
125	512	300
126	515	296
127	519	291
128	522	287
129	526	283
130	529	278
131	535	275
132	538	271
133	541	266
134	545	262
135	549	258
136	552	254
137	556	249
138	559	245
139	563	241
140	566	237
141	570	232
142	573	228
143	578	225
144	582	220
145	585	216
146	588	212
147	592	208
148	595	203
149	598	199
150	601	195
151	605	191
152	609	187
153	612	182
154	615	178
155	619	174
156	623	170
157	626	166
158	629	162
159	633	158
160	637	154
161	642	150
162	646	146
163	650	142
164	653	138
165	657	134
166	660	130
167	664	126
168	667	122
169	671	118
170	674	114
171	678	110
172	682	106
173	685	102
174	688	98
175	692	94
176	697	90
177	700	86
178	704	82
179	707	78
180	713	74
181	718	71
182	725	67
183	728	63
184	731	59
185	734	55
186	738	51
187	741	47
188	745	43
189	747	39
190	753	35
191	757	31
192	760	27
193	763	23
194	767	19
195	770	15
196	774	11
197	777	7
198	780	3
199	784	0
